��"FLO ID",Brand,"Company Name",Category,Status,City,Province,MVP
,"President's Choice Organic",,"Cocoa,Coffee","Licensed brand",,,No
,"Earth's Choice",,"Chocolate,Coffee","Licensed brand",Vancouver,BC,No
,"Good Earth Coffee House",,Coffee,"Licensed brand",,,No
,"Gourmet Coffee - Winnipeg's Finest",,Coffee,"Licensed brand",Winnipeg,MB,No
,"One Coffee",,Coffee,"Licensed brand",,,No
,"Spirit Bear Coffee",,Coffee,"Licensed brand","Port Coquitlam",BC,No
,"Whistler Chocolate",,Chocolate,"Licensed brand",Whistler,BC,No
,"Ara Azzurro",,Coffee,"Licensed brand",Woodbridge,ON,No
,,,,,,,No
,"Beachcomber Coffee",,Coffee,"Licensed brand",Gibsons,BC,No
26122,"23 Degrees Roastery","23 Degrees Roastery",Coffee,"Licensee company",Toronto,ON,No
05384,,"A. Holliday &amp; Company Inc.",Tea,Trader,Toronto,ON,No
21032,"Bercy Foods","Aliments Bercy","Bananas,Produce","Licensee company",Montreal,QC,No
41722,"Aliments Tristan","Aliments Tristan",Coffee,"Licensee company",St-Majorique,QC,No
35414,"Alpha Wolf","Alpha Wolf Coffee",Coffee,"Licensee company",Brampton,ON,No
03771,"Alter Eco","Alter Eco America&#8217;s (Canada)","Chocolate,Other","Licensee company","San Francisco",,No
01212,"Alternative Grounds","Alternative Grounds",Coffee,"Licensee company",Toronto,ON,Yes
02807,"Aroma Specialty Coffee","Aroma Specialty Coffee Roasters",Coffee,"Licensee company","Quathiaski Cove",BC,No
06450,,"Associated Brands LP",Tea,"Licensee company",Winona,ON,No
01392,"Baden Coffee Company","Baden Coffee Company Inc.","Coffee,Tea","Licensee company",Baden,ON,No
01393,"Balzac's Coffee","Balzac&#8217;s Coffee Ltd.",Coffee,"Licensee company",Ancaster,ON,No
02605,"Barry Callebaut","Barry Callebaut Canada",Chocolate,Trader,St-Hyacinthe,QC,No
01214,"Bean Fair","Bean Fair",Coffee,"Licensee company",Wakefield,QC,Yes
5466,Belvas,"Belvas Belgian Chocolate",Chocolate,"Licensee company",,,No
22337,"Ben & Jerry's","Ben &amp; Jerry&#8217;s","Frozen treats","Licensee company",Burlington,ON,Yes
23536,"Brûlerie Café Aladdin Coffee Roastery","Br&ucirc;lerie Caf&eacute; Aladdin Coffee Roastery",Coffee,"Licensee company",Gatineau,QC,No
01297,"Brûlerie Des Cantons","Br&ucirc;lerie Des Cantons",Coffee,"Licensee company",Warwick,QC,No
02811,"Brûlerie Rousseau","Br&ucirc;lerie Rousseau",Coffee,"Licensee company",Québec,QC,No
04183,"Brazcanco Inc.","Brazcanco Inc.",Coffee,"Licensee company",Toronto,ON,No
